TotalMinutesAsleep,Calories,TotalSteps,VeryActiveMinutes,SedentaryMinutes,BMI,AvgHeartRate
327.0,1985,13162,25,728,22.6499996185303,68.65625
384.0,1797,10735,21,776,22.6499996185303,68.65625
412.0,1745,9762,29,726,22.6499996185303,68.65625
340.0,1863,12669,36,773,22.6499996185303,68.65625
700.0,1728,9705,38,539,22.6499996185303,68.65625
304.0,2035,15506,50,775,22.6499996185303,68.65625
360.0,1786,10544,28,818,22.6499996185303,68.65625
325.0,1775,9819,19,838,22.6499996185303,68.65625
361.0,1949,14371,41,732,22.6499996185303,68.65625
430.0,1788,10039,39,709,22.6499996185303,68.65625
277.0,2013,15355,73,814,22.6499996185303,68.65625
245.0,1970,13755,31,833,22.6499996185303,68.65625
366.0,1898,13154,48,782,22.6499996185303,68.65625
341.0,1837,11181,16,815,22.6499996185303,68.65625
404.0,1947,14673,52,712,22.6499996185303,68.65625
369.0,1820,10602,33,730,22.6499996185303,68.65625
277.0,2004,14727,41,798,22.6499996185303,68.65625
273.0,1990,15103,50,816,22.6499996185303,68.65625
247.0,1959,14070,45,857,22.6499996185303,68.65625
334.0,1896,12159,24,754,22.6499996185303,68.65625
331.0,1821,11992,37,833,22.6499996185303,68.65625
594.0,1740,10060,44,574,22.6499996185303,68.65625
338.0,1819,12022,46,835,22.6499996185303,68.65625
383.0,1859,12207,46,746,22.6499996185303,68.65625
285.0,1783,12770,36,669,22.6499996185303,68.65625
750.0,2220,678,0,734,47.5400009155273,68.65625
398.0,2151,356,0,986,47.5400009155273,68.65625
475.0,2221,980,0,941,47.5400009155273,68.65625
296.0,2638,3761,0,1058,47.5400009155273,68.65625
166.0,2351,1675,0,1167,47.5400009155273,68.65625
437.0,1214,838,0,1053,,68.65625
506.0,1576,6017,0,821,,99.50581395348837
511.0,1690,7018,0,716,,84.13457076566125
531.0,1869,10685,0,543,,98.2339008142117
467.0,2038,10352,19,676,,73.81290461804058
445.0,2010,10129,1,705,,72.57948213700426
452.0,2133,10465,1,720,,75.68525687977399
556.0,1882,5472,1,508,,75.36218020022247
500.0,1944,8247,11,678,,71.23214476924724
465.0,2346,6711,0,648,,81.30099693251533
460.0,2048,10080,23,761,,73.41425341802132
405.0,1946,7804,9,781,,71.99640209332752
374.0,2629,16901,32,591,,83.43309231897726
442.0,2187,9471,0,584,,77.57597373188406
433.0,2095,9482,15,653,,73.86135600335852
436.0,1861,5980,0,732,,71.73179652000444
448.0,2194,11423,26,623,,75.19362135263515
408.0,1854,5439,0,764,,73.40854132002218
411.0,403,42,0,2,,62.86971235194586
501.0,3654,8539,4,712,,83.4990136324824
77.0,3051,1982,65,1222,,100.90332042707966
322.0,2828,4496,0,950,,77.8770095559303
478.0,3879,10252,13,531,,83.4561661803678
226.0,3429,11728,38,916,,85.57474310689543
385.0,2704,4369,0,855,,75.64283228276422
364.0,3089,5862,0,775,,78.0410612388964
442.0,2926,5546,0,774,,72.61970379024775
499.0,3066,8758,0,837,,67.47093970668115
426.0,3073,6580,6,609,,75.47658862876254
619.0,2572,4660,0,721,,66.39134502923977
