,time1,time2,time3,timeavg,acc1,acc2,acc3,accavg,mem1,mem2,mem3,memavg,loss1,loss2,loss3,lossavg,timetotal
original,122.62,133.86,135.25,130.5766667,0.61,0.7,0.75,0.686666667,514.95,456.59,502.7,491.4133333,0.0213,0.0194,0.0175,0.0194,541.61
sadp,111.96,125.8,114.78,117.5133333,0.64,0.67,0.69,0.666666667,566.79,455.4,451.11,491.1,0.0211,0.0194,0.0177,0.0194,542.68
localDP(ns=0.1),116.72,122.72,138.82,126.0866667,0.622,0.68,0.73,0.677333333,519.08,506.02,502.4,509.1666667,0.0213,0.0197,0.0181,0.0197,560.82
localDP(ns=0.12),109.79,138.76,134.76,127.77,0.506,0.536,0.576,0.539333333,566.99,721.86,559.48,616.11,0.0228,0.025,0.015,0.020933333,585.92
localDP(ns=0.14),142.23,134.59,104.8,127.2066667,0.514,0.526,0.512,0.517333333,514.85,519.5,539.49,524.6133333,0.0256,0.0266,0.034,0.028733333,594.41
localDP(ns=0.16),120.82,123.87,125.51,123.4,0.504,0.498,0.48,0.494,942.59,518.3,836.71,765.8666667,0.026,0.029,0.031,0.028666667,524.13
localDP(ns=0.18),125.67,128.07,126.4,126.7133333,0.514,0.498,0.476,0.496,850.81,843.42,843.38,845.87,0.0244,0.035,0.037,0.032133333,266.41
localDP(ns=0.2),82.16,141.07,172.03,131.7533333,0.498,0.476,0.478,0.484,946.81,959.39,459,788.4,0.026,0.028,0.054,0.036,479.62
localDP(ns=0.3),105.6,133.86,213,150.82,0.506,0.49,0.49,0.495333333,570.48,459.54,83.04,371.02,0.0299,0.06,0.0553,0.0484,715.8
localDP(ns=0.4),134.78,144.14,194.36,157.76,0.496,0.452,0.43,0.459333333,462.7,846.7,82.39,463.93,0.47,0.0314,0.038,0.1798,759.87
localDP(ns=1.0),137.55,167.7,234.49,179.9133333,0.47,0.434,0.404,0.436,463.06,462.22,466.38,463.8866667,0.49,0.359,0.34,0.396333333,751.03
